指標類別,關鍵字,提取值,數據類型,信心分數,來源頁面,來源文本
指標1_再生材料使用比例,再生材料使用比例,30%,percentage,0.80,"第167頁, 第109頁, 第108頁",
指標1_再生材料使用比例,再生塑膠佔比,30%,percentage,0.80,"第169頁, 第167頁, 第108頁",
指標1_再生材料使用比例,rPET含量,未提及,percentage,1.00,"第166頁, 第167頁, 第166頁",
指標1_再生材料使用比例,PCR材料使用,30%,percentage,0.80,"第56頁, 第167頁, 第55頁",
指標1_再生材料使用比例,導入再生料,30%,percentage,0.80,"第86頁, 第167頁, 第107頁",
指標1_再生材料使用比例,recycled content ratio%,未提及,percentage,1.00,"第168頁, 第169頁, 第8頁",
指標1_再生材料使用比例,PCR plastic usage,30%,percentage,0.80,"第56頁, 第167頁, 第3頁",
指標1_再生材料使用比例,rPET content,未提及,percentage,1.00,"第38頁, 第167頁, 第166頁",
指標1_再生材料使用比例,% recycled materials,89.1%,percentage,0.80,"第109頁, 第108頁, 第107頁",
指標1_再生材料使用比例,recycled plastic usage rate,30%,percentage,0.80,"第167頁, 第168頁, 第169頁",
指標1_再生材料使用比例,PCR material use,30%,percentage,0.80,"第56頁, 第167頁, 第55頁",
指標1_再生材料使用比例,post-consumer plastic share,未提及,percentage,1.00,"第86頁, 第56頁, 第62頁",
指標1_再生材料使用比例,Recycled Content Claim,未提及,percentage,1.00,"第163頁, 第3頁, 第23頁",
指標2_碳排放數據比較,再生材料碳排放,未提及,number,1.00,"第86頁, 第84頁, 第83頁",
指標2_碳排放數據比較,碳足跡比較,未提及,number,1.00,"第93頁, 第66頁, 第83頁",
指標2_碳排放數據比較,再生料減碳量,未提及,number,1.00,"第93頁, 第83頁, 第167頁",
指標2_碳排放數據比較,歷年GHG排放量,"19,850,908 噸 CO2e",number,1.00,"第162頁, 第92頁, 第91頁",
指標2_碳排放數據比較,減碳數據,"100,000 噸 CO2e/年",number,1.00,"第93頁, 第66頁, 第66頁",
指標2_碳排放數據比較,碳排年表,"19,850,908 噸 CO2e",number,1.00,"第10頁, 第66頁, 第91頁",
指標2_碳排放數據比較,GHG減量,2025年較基準年減量20%,number,0.70,"第81頁, 第9頁, 第95頁",
指標2_碳排放數據比較,recycled material carbon footprint,未提及,number,1.00,"第8頁, 第93頁, 第58頁",
